cow,breed,lactation_number_in_data,calvdate,parity,date,mtotalmotion,mtotalsteps,mhoursstanding,mhourslying,mlyingbouts,mrumination,mactivity,predictedcalving,calved,calvingeasescore,date1,daysprior
1355,H,1,11-Dec-11,multiparous,08DEC11:00:00:00,386.5833333,106.8333333,1.239907407,0.760092593,0.833333333,43,28.19166667,10,0,1,8-Dec-11,-3
1355,H,1,11-Dec-11,multiparous,09DEC11:00:00:00,407.9166667,116,1.058263889,0.941736111,0.75,43.16666667,23.30833333,9,0,1,9-Dec-11,-2
1355,H,1,11-Dec-11,multiparous,10DEC11:00:00:00,799.5833333,211.75,1.367013889,0.632986111,2.25,20.83333333,22.26666667,8,0,1,10-Dec-11,-1
1355,H,1,11-Dec-11,multiparous,11DEC11:00:00:00,256.25,68.5,1.096388889,0.903611111,1.25,17.75,20.65,7,1,1,11-Dec-11,0
1355,H,2,14-Feb-13,multiparous,31JAN13:00:00:00,791,195.1666667,1.160277778,0.839722222,0.333333333,44.66666667,26.66666667,17,0,1,31-Jan-13,-14
1355,H,2,14-Feb-13,multiparous,01FEB13:00:00:00,615.4166667,155.4166667,1.416319444,0.583680556,0.5,46.33333333,26.525,16,0,1,1-Feb-13,-13
1355,H,2,14-Feb-13,multiparous,02FEB13:00:00:00,611.25,159.3333333,1.334212963,0.665787037,0.5,40.75,23.93333333,15,0,1,2-Feb-13,-12
1355,H,2,14-Feb-13,multiparous,03FEB13:00:00:00,550.75,140.4166667,0.983472222,1.016527778,0.583333333,50.91666667,24.14166667,14,0,1,3-Feb-13,-11
1355,H,2,14-Feb-13,multiparous,04FEB13:00:00:00,588.1666667,148.3333333,1.051180556,0.948819444,1.166666667,51.75,25.43333333,13,0,1,4-Feb-13,-10
1355,H,2,14-Feb-13,multiparous,05FEB13:00:00:00,242.4,62.2,0.554388889,1.295611111,0.6,29.8,18.16,12,0,1,5-Feb-13,-9
1355,H,2,14-Feb-13,multiparous,10FEB13:00:00:00,847.25,228.375,1.242777778,0.663472222,2.25,20,25.525,7,0,1,10-Feb-13,-4
1355,H,2,14-Feb-13,multiparous,11FEB13:00:00:00,824.8333333,220.0833333,0.918865741,1.081134259,1.5,34.16666667,22.33333333,6,0,1,11-Feb-13,-3
1355,H,2,14-Feb-13,multiparous,12FEB13:00:00:00,895.5833333,248.0833333,1.079097222,0.900069444,1.333333333,42.5,29.61666667,5,0,1,12-Feb-13,-2
1355,H,2,14-Feb-13,multiparous,13FEB13:00:00:00,1643.916667,446.0833333,1.354027778,0.500138889,1.833333333,12.75,17.69166667,4,0,1,13-Feb-13,-1
1355,H,2,14-Feb-13,multiparous,14FEB13:00:00:00,673.25,173.25,1.276458333,0.661041667,1.75,24.5,27.75,3,1,1,14-Feb-13,0
1358,H,1,22-Nov-11,multiparous,08NOV11:00:00:00,1052.833333,219,0.697546296,1.302453704,0.916666667,43.16666667,28.79166667,16,0,2,8-Nov-11,-14
1358,H,1,22-Nov-11,multiparous,09NOV11:00:00:00,1044.166667,228.75,0.796319444,1.203680556,0.916666667,35.91666667,32.59166667,15,0,2,9-Nov-11,-13
